id,category,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
"en-pay-01",payment,3.11570000,72.53560000,3.96970000,30.20800000,15.63440000,40.98020000,17.94700000,39.43960000,42.52420000,318.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"en-pay-02",payment,3.31700000,75.51170000,3.86820000,31.23870000,15.65060000,41.20020000,18.66460000,39.63740000,42.76650000,321.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"en-pay-03",payment,3.20860000,73.49280000,3.62360000,29.71470000,15.60090000,44.97690000,18.14170000,43.73850000,46.21810000,318.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"de-pay-01",payment,2.90500000,65.82890000,3.44670000,29.84380000,15.97740000,45.68320000,16.34190000,44.12970000,47.24010000,302.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"en-rcp-01",receipt,3.43260000,74.48760000,3.83080000,31.19070000,16.45380000,41.47960000,18.25120000,40.36480000,42.59690000,321.00000000,0.00000000,4.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"en-rcp-02",receipt,3.31520000,74.04240000,3.83420000,30.28230000,16.16590000,39.19910000,18.03230000,38.26370000,40.13660000,321.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"en-rcp-03",receipt,3.16260000,71.78650000,3.43320000,26.07730000,13.77270000,37.86470000,17.23650000,37.54510000,38.18500000,314.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"en-rcp-04",receipt,3.26820000,75.02270000,3.94650000,32.07810000,16.70040000,40.45980000,18.29920000,39.80880000,41.11230000,320.00000000,1.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"en-dig-01",digest,3.29210000,73.64850000,3.93080000,29.96920000,15.85330000,40.10120000,17.95620000,38.38900000,41.81720000,325.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.00000000
"en-dig-02",digest,3.31620000,75.00350000,3.76860000,30.18240000,15.79650000,39.05170000,18.41250000,37.76040000,40.34580000,326.00000000,0.00000000,0.00000000,4.00000000,0.00000000,0.00000000,0.00000000
"en-dig-03",digest,3.21360000,73.75730000,3.88010000,32.43170000,17.33510000,43.63480000,18.29660000,42.23960000,45.03300000,317.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
"en-dig-04",digest,2.86610000,67.63540000,3.44330000,30.80410000,16.95650000,43.94170000,16.91480000,41.92530000,45.96260000,301.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"en-mtg-01",meeting,3.01000000,68.54580000,3.39580000,29.57430000,15.94780000,46.12540000,16.89860000,45.57580000,46.67620000,304.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0.00000000,0.00000000
"en-mtg-02",meeting,3.21950000,73.57910000,3.54580000,30.56760000,16.36360000,41.07920000,17.95750000,39.63740000,42.52420000,318.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"en-mtg-03",meeting,3.13140000,72.07020000,3.50150000,27.81230000,15.05600000,42.97360000,17.81170000,41.43740000,44.51320000,311.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"de-mtg-01",meeting,3.10130000,69.83530000,3.45620000,30.07430000,15.63940000,40.12760000,17.18830000,38.15160000,42.10790000,315.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"en-cmp-01",complaint,2.59400000,61.39070000,3.58460000,30.04430000,16.28370000,42.55780000,15.47510000,41.73190000,43.38550000,295.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.00000000,0.00000000
"en-cmp-02",complaint,3.31680000,73.83790000,3.64070000,29.73270000,16.04640000,40.27610000,17.86270000,38.47470000,42.08150000,319.00000000,0.00000000,1.00000000,0.00000000,0.00000000,2.00000000,0.00000000
"en-cmp-03",complaint,3.25110000,73.60090000,4.03620000,31.13210000,16.30000000,41.78990000,17.98190000,40.40000000,43.18280000,320.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000
"de-cmp-01",complaint,3.35200000,74.69320000,3.87540000,30.84610000,16.11490000,40.27060000,18.18340000,38.42420000,42.12110000,323.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
"en-per-01",personal,3.34900000,73.84600000,3.69360000,30.15090000,15.95990000,39.99120000,17.82900000,37.96700000,42.01980000,321.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000
"en-per-02",personal,3.03460000,69.51360000,3.52440000,30.33110000,16.42620000,43.27500000,17.28720000,41.99340000,44.55950000,312.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"en-per-03",personal,3.28330000,74.40890000,3.60750000,30.83860000,16.24360000,41.08580000,18.20460000,39.36040000,42.81500000,322.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000
"de-per-01",personal,3.29690000,74.74240000,3.76740000,32.08930000,16.55410000,40.18590000,18.37230000,39.41540000,40.95810000,328.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-000-payment",payment,2.96930000,69.32180000,3.33000000,30.00600000,16.12370000,43.02860000,17.34300000,42.32530000,43.73350000,307.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-001-receipt",receipt,3.27750000,74.33800000,3.63770000,31.79880000,16.89390000,40.33770000,18.24870000,39.75380000,40.92290000,322.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-002-digest",digest,2.90980000,68.12370000,3.60370000,30.38960000,16.49640000,41.45320000,16.86580000,39.57580000,43.33480000,309.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-003-meeting",meeting,2.99490000,69.16580000,3.91810000,31.98950000,16.92600000,38.21340000,17.25860000,37.67910000,38.74890000,317.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-004-complaint",complaint,3.03280000,70.41780000,4.00540000,29.35290000,15.25660000,39.56660000,17.44080000,38.76480000,40.37000000,311.00000000,1.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-005-personal",personal,2.78830000,65.97770000,3.77850000,30.34380000,16.55330000,42.05390000,16.52240000,40.75820000,43.35240000,297.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-006-payment",payment,3.25360000,73.70130000,3.45730000,30.53150000,16.09530000,39.90540000,18.05850000,39.14730000,40.66520000,321.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-007-receipt",receipt,3.02450000,68.46300000,3.20810000,25.69820000,13.84160000,40.88450000,16.67430000,40.52530000,41.24450000,305.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
